ID,UPA,EventDate,Employer,Address1,Address2,City,State,Zip,Latitude,Longitude,Primary NAICS,Hospitalized,Amputation,Loss of Eye,Inspection,Final Narrative,Nature,NatureTitle,Part of Body,Part of Body Title,Event,EventTitle,Source,SourceTitle,Secondary Source,Secondary Source Title,FederalState
2015010685,933830,1/22/2015,"C.D. Smith Construction, Inc.","521 E. Avenue, North",,LA CROSSE,WISCONSIN,54601,43.81,-91.22,236220,1,0,0,,"Worker was hit in the head with rebar that fell from an upper elevation on a construction site. The worker was taken to the hospital, where a CT scan indicated a skull fracture.",111,Fractures,113,Skull,6230,"Struck by falling object or equipment, unspecified",4132,"Bars, rods, reinforcing bar (rebar)",60,"Structures and surfaces, unspecified",1
2015010749,934287,1/23/2015,H5 Data Centers,5350 S. Valentia Way,,GREENWOOD VILLAGE,COLORADO,80111,39.61,-104.89,518210,0,1,0,1021471,An employee suffered an amputation to the tip of his left pinky finger while attempting to stop a V Belt on an HVAC system with his hand.,1311,Amputations,4422,Fingertip(s),6311,Struck against moving part of machinery or equipment,330,"Heating, cooling, and cleaning machinery and appliances, unspecified",,,1
2015010805,934741,1/26/2015,Duke Electric Company Inc.,100 Northwest 7th Street,,SEMINOLE,TEXAS,79360,32.72,-102.65,238210,1,0,0,,Employee was burned while working on a motor.,150,"Burns and corrosions, unspecified ",9999,Nonclassifiable,50,"Exposure to harmful substances or environments, unspecified",4414,Motors other than vehicle,,,1
2015010856,934928,1/27/2015,Disabatino Maintenance Corp,1096 Elk Road,,NEWARK,DELAWARE,19702,39.63,-75.7,236220,1,0,0,,"Worker was inspecting a flat roof. The surface of the roof was icy. The worker slipped and fell on the same level, fracturing his tibia and fibula bones directly above the right ankle. He was hospitalized and required surgery.",111,Fractures,530,"Foot (feet), unspecified",422,Fall on same level due to slipping ,6543,Roof surfaces other than roof edge,9273,"Ice, sleet, snow",1
2015010864,935542,1/27/2015,PSEG,1650 Islip Avenue,,BRENTWOOD,NEW YORK,11717,40.78,-73.21,221122,1,0,0,,Employee slipped on ice and broke the left leg.,111,Fractures,510,"Leg(s), unspecified",422,Fall on same level due to slipping ,660,"Floors, walkways, ground surfaces, unspecified",9273,"Ice, sleet, snow",1
2015010868,934947,1/27/2015,NSTAR Electric & Gas Corporation,157 Cordaville Rd,,SOUTHBOROUGH,MASSACHUSETTS,01745,42.28,-71.52,221122,1,0,0,,"On 1/27/15, an employee was admitted to the hospital with a fractured skull after falling on ice in the company parking lot.",111,Fractures,113,Skull,422,Fall on same level due to slipping ,6660,"Parking lot, unspecified",9273,"Ice, sleet, snow",1
2015010891,935339,1/28/2015,"PJ Dick, Inc.",120 South Woodfield Street,,PITTSBURGH,PENNSYLVANIA,15206,40.46,-79.92,236220,1,0,0,,"Worker was hospitalized due to a fractured thumb from using a 6"" grinder.",111,Fractures,4429,"Finger(s), fingernail(s), n.e.c.",60,"Contact with objects and equipment, unspecified",7242,Hand grinders-powered,,,1
2015010894,935040,1/28/2015,Xcel Energy,Intersection State Hwy. 83 & State Hwy. 403,,SEAGRAVES,TEXAS,79359,32.93,-102.57,221122,1,0,0,,"The employee was at the laydown yard picking up wood poles to load onto a trailer for some work later. While operating the grapple truck, he picked up two wood poles and as he adjusted the poles to fit onto the trailer, the poles fell. One pole fell to the ground. The other pole struck the employee while he was seated on the machine. The pole glanced off his hard hat and hit his left shoulder and cut the left side of his neck.",132,"Cuts, lacerations",20,"Neck, except internal location of diseases or disorders",6233,Struck by object falling from vehicle or machinery-other than vehicle part,6352,Utility and telephone poles,8629,"Industrial vehicle, material hauling and transport-powered, n.e.c",1
2015010926,935654,1/29/2015,Quality Brick Works,1421 South 23rd Street,,TEMPLE,TEXAS,76504,31.09,-97.36,236220,1,0,0,1031527,Worker was working off a 6 ft scaffold that had been erected the day before. He adjusted the scaffold so he could pour concrete and fell. He was admitted to the hospital.,10,"Traumatic injuries and disorders, unspecified",9999,Nonclassifiable,4332,Other fall to lower level 6 to 10 feet,6340,"Scaffolds-staging, unspecified",,,1
2015010946,939850,1/29/2015,"JE Dunn Construction Group, Inc.",630 Hwy 211 NE,,WINDER,GEORGIA,30680,34.02,-83.67,236220,1,0,0,,Worker was injured when he fell out of the back of a pick-up truck. The truck was parked and not moving; the employee tripped over the wheel well. He broke his collar bone and some ribs.,111,Fractures,899,"Multiple body parts, n.e.c.",4331,Other fall to lower level less than 6 feet,8431,Pickup truck,,,1
2015010984,937432,1/30/2015,"A.C.E. Building Service, Inc. ",2720 18th St. ,,TWO RIVERS,WISCONSIN,54241,44.14,-87.58,236220,1,2,0,,A worker operating a skid-steer loader amputated the first finger on the right hand and the fourth finger on the left hand when they were crushed between the skid-steer and a dumpster.,1311,Amputations,4429,"Finger(s), fingernail(s), n.e.c.",642,Compressed or pinched by shifting objects or equipment,3222,"Skid steer loaders, mini loaders",2118,"Tanks, bins, vats-nonconfined space",1
2015021065,939714,2/2/2015,Five Star Electric,605 W. 129th St,,NEW YORK,NEW YORK,10027,40.81,-73.95,238210,1,0,0,1024970,Finger cut accident.,132,"Cuts, lacerations",4420,"Finger(s), fingernail(s), unspecified",60,"Contact with objects and equipment, unspecified",9999,Nonclassifiable,,,1
2015021076,942188,2/3/2015,AT & T Communications,Wedgefield Court,,DOUGLASVILLE,GEORGIA,30133,33.69,-84.73,238210,1,0,0,,"An employee was walking behind a ditch witch, digging a ditch for underground fiber optic lines.  The equipment hit a rut in the ground and fell to the side, trapping the employee's right hand between the controls and a tree.  The right thumb was severely cut and was barely hanging on by two pieces of flesh.  The employee was transported and admitted to Grady hospital.",1310,"Amputations, avulsions, enucleations, unspecified",4420,"Finger(s), fingernail(s), unspecified",642,Compressed or pinched by shifting objects or equipment,3215,Trenchers,5871,Trees,1
2015021089,943149,2/3/2015,PSE&G Metropolitian Division,#9 Hedden Terrace,,NEWARK,NEW JERSEY,07102,40.72,-74.2,221121,1,0,0,1026907,"At approximately 8 PM, 2/3/2015, a worker was struck by a hand-hole cover, sustaining unspecified injuries to the head/face.  He was part of an Underground Trouble team assigned to investigate a manhole explosion/no power condition. The initial report is that he was in the process of tapping the cover with a hammer to loosen it when the cover was blown up into his head/face.",1972,"Soreness, pain, hurt-nonspecified injury",10,"Head, unspecified",6241,"Struck by dislodged flying object, particle",4912,Manhole and cistern covers,,,1
2015020032,982157,2/4/2015,Mendel and Company,638 E Colfax Ave,,DENVER,COLORADO,80204,39.73,-104.99,236220,2,0,0,1026392,Two employees were taken to the emergency room at Denver General for oxygen and observation after being exposed to carbon monoxide from a propane heater being used indoors.,1960,"Poisoning, toxic, noxious, or allergenic effect, unspecified",6,BODY SYSTEMS,5521,Inhalation of harmful substance-single episode,1741,Carbon monoxide,3324,"Furnaces, heaters",1
2015020040,963304,2/6/2015,"Tully Construction, Inc.",Major Deegan Expwy,,BRONX,NEW YORK,10451,40.82,-73.92,236220,1,0,0,,Employee was walking to work when he slipped on ice bruising his right hip.,143,"Bruises, contusions",341,Hip(s),422,Fall on same level due to slipping ,660,"Floors, walkways, ground surfaces, unspecified",9273,"Ice, sleet, snow",1
2015021206,949190,2/6/2015,Ansco Associates,6654 Leopard St.,,CORPUS CHRISTI,TEXAS,78409,27.8,-97.48,238210,1,0,0,,"Worker was repairing an overhead door roller located in the shop. He set up an extension ladder against the wall of the building and climbed up. After he made the repair using his hands, he fell while descending the ladder. He landed on a water pump that was below and sustained multiple injuries to the right side of his body, including his right arm, knee cap, ribs, and cheek.  He also sustained a cranial injury due to the fall and suffered a concussion.",189,"Multiple traumatic injuries and disorders, n.e.c.",899,"Multiple body parts, n.e.c.",4330,"Other fall to lower level, unspecified",7421,Extension ladders,,,1
2015021212,948668,2/6/2015,JBL Electric,Pond Street,,FREEHOLD,NEW JERSEY,07728,40.24,-74.27,238210,1,0,0,,"Employee was preparing his truck to do electrical work on a pole. When he turned around, he missed the stairs and fell to the ground. ",10,"Traumatic injuries and disorders, unspecified",9999,Nonclassifiable,4330,"Other fall to lower level, unspecified",840,"Highway vehicle, motorized, unspecified",562,"Bodily motion or position of injured, ill worker",1
2015020049,963787,2/10/2015,"Mona Electric Group, Inc.","9800 Savage Rd., Bldg. 9800",,FORT GEORGE G MEADE,MARYLAND,20755,39.1,-76.77,238210,2,0,0,1041605,Two electricians came into contact with live parts which resulted in an arc explosion.,10,"Traumatic injuries and disorders, unspecified",9999,Nonclassifiable,5110,"Direct exposure to electricity, unspecified",4410,"Electric parts, unspecified",,,0
2015021342,958550,2/11/2015,MW BUILDERS,6372 Cosley,,FORT LEONARD WOOD,MISSOURI,65473,37.77,-92.11,236220,0,1,0,,"An employee was descending a dump truck ladder, when he jumped to the floor and his ring was caught. He lost part of his left-hand ring finger, from the mid-knuckle up.",1311,Amputations,4429,"Finger(s), fingernail(s), n.e.c.",4420,"Other jump to lower level, unspecified",8423,Dump truck,,,1
2015020477,962898,2/17/2015,"Stripes, LLC",2817 Red Bluff,,PASADENA,TEXAS,77503,29.69,-95.17,236220,1,1,0,,"Employee was opening a bag of guacamole using a knife without cutting gloves.  The knife went sideways, cutting her left index fingertip.",1311,Amputations,4422,Fingertip(s),6252,Injured by slipping or swinging object held by injured worker,7125,"Knives, unspecified or n.e.c.",,,1
2015020075,964465,2/19/2015,Prairieland Electrical Services Inc,South 36 Highway ,,PRAIRIE VIEW,KANSAS,67664,39.83,-99.57,238210,1,0,0,,Employee was wrapping a tarp onto an articulating boom bucket mounted and stored on a service truck. Employee fell approximately 6 feet to the ground and suffered fractured ribs.,111,Fractures,310,"Chest, except internal location of diseases or disorders",4332,Other fall to lower level 6 to 10 feet,8420,"Truck-motorized freight hauling and utility, unspecified",,,1
2015020572,964022,2/20/2015,GH Phipps Construction Company,3372 W. 38th Ave.,,DENVER,COLORADO,80211,39.76,-105.03,236220,1,0,0,,An employee was struck by a portable aluminum extension ladder that fell from the side of the east wall.,10,"Traumatic injuries and disorders, unspecified",9999,Nonclassifiable,6239,"Struck by falling object or equipment, n.e.c.",7421,Extension ladders,6569,"Ceilings, walls, n.e.c.",1
2015020661,965220,2/21/2015,"J.P. Cullen & Sons, Inc.",330 East Delavan Drive,,JANESVILLE,WISCONSIN,53547,42.66,-89,236220,0,1,0,,"Employee was setting a place pump for concrete when the pump caught, crushed, and amputated his right ring finger.",1311,Amputations,4429,"Finger(s), fingernail(s), n.e.c.",640,"Caught in or compressed by equipment or objects, unspecified",3797,Pumps,,,1
2015020680,964256,2/22/2015,Meade Electric,9550 W. 55th St. Suite A,,MC COOK,ILLINOIS,60525,41.79,-87.85,238210,1,0,0,1042074,Employee was hospitalized due to being struck in the head by a backhoe bucket.,160,"Intracranial injuries, unspecified",111,Brain,6213,Struck by swinging part of powered vehicle,3211,"Backhoes, trackhoes",,,1
2015020695,967573,2/23/2015,"FISHER CONSTRUCTION, INC.",402 Summit Ave,,LEWISTOWN,MONTANA,59457,47.05,-109.42,236220,1,0,0,1044917,Employee fell from a scaffold platform; employee was injured and hospitalized.,10,"Traumatic injuries and disorders, unspecified",9999,Nonclassifiable,4330,"Other fall to lower level, unspecified",6340,"Scaffolds-staging, unspecified",,,1
2015020741,964736,2/24/2015,"FBI BUILDINGS, INC.",14635 Archer ave.,,LOCKPORT,ILLINOIS,60441,41.61,-88.03,236220,1,0,0,1042697,Employee fell approximately 15 feet. No fall protection was being used at the time.,10,"Traumatic injuries and disorders, unspecified",9999,Nonclassifiable,4333,Other fall to lower level 11 to 15 feet ,9999,Nonclassifiable,,,1
2015020766,965041,2/25/2015,"J.H. Findorff & Son, Inc.",600 Highland Avenue,,MADISON,WISCONSIN,53792,43.07,-89.43,236220,1,0,0,,"Employee was attempting to cut banding with a pocket knife.  The knife slipped and struck the employee in the calf, hitting an artery. Employee was hospitalized.",132,"Cuts, lacerations",513,Lower leg(s),6252,Injured by slipping or swinging object held by injured worker,7124,Box cutters and razor knives,,,1
2015020774,964805,2/25/2015,Watts Electric Company,14th & Military Road,,LINCOLN,NEBRASKA,68508,40.81,-96.7,238210,1,0,0,1043929,Employee was changing out a piece of pipe while installing underground conduits on a directional drilling rig. He was struck by a wrench. The employee was taken to the hospital with injuries to his forearm.,1972,"Soreness, pain, hurt-nonspecified injury",423,Forearm(s),620,"Struck by object or equipment, unspecified",7352,Wrenches-power not determined,,,1
2015020777,964784,2/25/2015,Morton Builiding Inc,7748 7th Ave,,WINFIELD,KANSAS,67156,37.18,-97.02,236220,1,0,0,,"Employee was carrying a building truss with a forklift and placed a truss into a stored area. The employee reversed the forklift and walked up to the stored truss. The truss fell on the employee, causing facial injuries and fractured ribs.",111,Fractures,310,"Chest, except internal location of diseases or disorders",6239,"Struck by falling object or equipment, n.e.c.",6550,"Trusses, girders, beams-structurally attached, unspecified",,,1
2015020781,968129,2/25/2015,Tidewater Caulking & Waterproofing LLC,Riviana Station,Army Corps of Engineers,CHARLOTTESVILLE,VIRGINIA,22907,37.95,-78.49,236220,1,0,0,,"While riding a scissorlift, employee's face struck a doorway. Employee broke the jaw and was admitted for in-patient hospitalization at the University of Virginia Hospital.",111,Fractures,135,"Jaw, chin",6329,"Struck against stationary object or equipment, n.e.c.",6511,"Doors, except garage and vehicle",3467,"Aerial lifts, scissor lifts-except truck-mounted",0
2015020087,965255,2/26/2015,Pdernales Electric,714 Fulcher St,,BLANCO,TEXAS,78606,30.09,-98.42,221122,1,0,0,,Employee fell 8 feet when he was transitioning from the ladder to the roof.,10,"Traumatic injuries and disorders, unspecified",9999,Nonclassifiable,4332,Other fall to lower level 6 to 10 feet,740,"Ladders, unspecified",,,1
2015020103,965519,2/26/2015,Southwest Electric Company,Marine Core Air Station - Cherry Point,,HAVELOCK,NORTH CAROLINA,28532,34.89,-76.86,238210,1,0,0,1044930,"Employee was cleaning insulator bushings on top of a de-energized transformer/regulator in preparation for tap switch testing. Upon energizing of control voltage for testing, employee received an electric shock.",193,"Electrocutions, electric shocks",6,BODY SYSTEMS,5112,"Direct exposure to electricity, greater than 220 volts",4415,"Power lines, transformers, convertors",,,0
2015020105,965055,2/26/2015,A & K Speciality Contractors ,1501 S Carbon St.,,MARION,ILLINOIS,62959,37.71,-88.94,236220,1,0,0,1043077,"On 26 February 2015, an employee was installing drywall from a scissor lift approximately six feet from the ground. While working, the employee fell  off the edge of the scissor lift to the ground.",10,"Traumatic injuries and disorders, unspecified",9999,Nonclassifiable,4332,Other fall to lower level 6 to 10 feet,3467,"Aerial lifts, scissor lifts-except truck-mounted",,,1
2015020106,965892,2/26/2015,KBR,6801 North Jog Road,,WEST PALM BEACH,FLORIDA,33412,26.79,-80.13,236220,1,0,0,,"An employee was starting up a pump and a hose was not secured. As the employee tried to control the hose, he lost his balance and fell at the same level, hitting his head on the concrete.",160,"Intracranial injuries, unspecified",111,Brain,429,"Fall on same level, n.e.c. ",660,"Floors, walkways, ground surfaces, unspecified",,,1
2015020815,965361,2/27/2015,The Farfield Company,517 Airport Road,,LITITZ,PENNSYLVANIA,17543,40.11,-76.3,238210,1,0,0,,"Employee was reporting for work, got out of the car, slipped on ice, fell and struck the back of the head. He was admitted to the hospital for a brain injury.",160,"Intracranial injuries, unspecified",111,Brain,422,Fall on same level due to slipping ,660,"Floors, walkways, ground surfaces, unspecified",9273,"Ice, sleet, snow",1
2015020825,966442,2/27/2015,Achary Electrical Contractors,58291 Hwy 433,,SLIDELL,LOUISIANA,70460,30.27,-89.84,238210,1,0,0,,"An employee was loading a ladder on the ladder rack of a truck. When the employee went to step down, his ring got caught on the rack and his finger was sliced open.",132,"Cuts, lacerations",4420,"Finger(s), fingernail(s), unspecified",69,"Contact with objects and equipment, n.e.c.",840,"Highway vehicle, motorized, unspecified",,,1
2015020848,966109,2/27/2015,Congress Building Corp,149 County Road,,IPSWICH,MASSACHUSETTS,01938,42.67,-70.8,236220,1,1,0,1043608,An employee amputated his fingers while using a saw.,1311,Amputations,4429,"Finger(s), fingernail(s), n.e.c.",60,"Contact with objects and equipment, unspecified",7323,Saws-power not determined,,,1
2015030886,967187,3/1/2015,Skanska USA,75 Maidan Lane,,NEW YORK,NEW YORK,10038,40.7,-74,236220,1,0,0,,"An employee got struck by an ""I"" beam and fell approximately 4 feet.",10,"Traumatic injuries and disorders, unspecified",9999,Nonclassifiable,4331,Other fall to lower level less than 6 feet,6620,"Floor, unspecified",4133,Beams-unattached metal,1
2015030922,966243,3/2/2015,MSF ELECTRIC INC,901 Hardy Street,,HOUSTON,TEXAS,77020,29.76,-95.35,238210,1,0,0,,"The injured employee was standing halfway up a fold-down attic ladder, receiving instructions on what materials/equipment would be needed to fully repair the attic heater. While descending the ladder, the employee missed a step, fell, and fractured a vertebra in the thoracic area of the back.",111,Fractures,321,Thoracic region,4330,"Other fall to lower level, unspecified",749,"Ladders, n.e.c.",,,1
2015030967,967242,3/4/2015,Humphreys and Associates,3333 Dan Morton Dr,,DALLAS,TEXAS,75236,32.7,-96.91,238210,1,0,0,,An employee injured his wrist and head when he slipped on a three-rung ladder. He was admitted to the hospital and treated.,1972,"Soreness, pain, hurt-nonspecified injury",899,"Multiple body parts, n.e.c.",4331,Other fall to lower level less than 6 feet,740,"Ladders, unspecified",,,1
2015030303,969309,3/9/2015,Permasteelisa Interior Division,665 Broad St.,,NEWARK,NEW JERSEY,07102,40.73,-74.17,236220,1,0,0,,An employee fractured his hip because he tripped and fell at a construction site.,111,Fractures,341,Hip(s),4210,"Fall on same level due to tripping, unspecified",660,"Floors, walkways, ground surfaces, unspecified",,,1
2015030306,967751,3/9/2015,National Grid,20 Pine Street,,POTSDAM,NEW YORK,13676,44.66,-74.99,221122,1,0,0,,An employee was on a 12-foot step ladder changing a light bulb in the facility. Another employee drove his vehicle into the building and bumped the ladder; the injured employee fell off and broke both ankles.,111,Fractures,52,Ankle(s),2442,Pedestrian struck by forward-moving vehicle in nonroadway area,840,"Highway vehicle, motorized, unspecified",,,1
2015030413,968804,3/11/2015,KIRBY SPECIALTIES CORPORATION,3800 Progress ,,NORTH LITTLE ROCK,ARKANSAS,72114,34.75,-92.22,236220,1,0,0,1048618,An employee was coming down from the roof in a caged ladder when he lost his footing and fell to the ground below.,10,"Traumatic injuries and disorders, unspecified",9999,Nonclassifiable,430,"Fall to lower level, unspecified",749,"Ladders, n.e.c.",,,1
2015031142,968597,3/11/2015,Northern Electric,182nd Street & 401st Avenue,,FRANKFORT,SOUTH DAKOTA,57440,44.87,-98.28,238210,1,0,0,1048279,"The company had identified that an underground short was occurring on a 7,200-volt line. The company was attempting to locate the short using a DC charge unit known as a ""Thumper."" The Thumper would shoot a charge through the line, and the employees would use equipment to triangulate the approximate location of the short. During one of these tests, a charge was sent through the line, and an employee received a shock severe enough to require hospitalization.",193,"Electrocutions, electric shocks",6,BODY SYSTEMS,5112,"Direct exposure to electricity, greater than 220 volts",4415,"Power lines, transformers, convertors",,,1
2015031185,969444,3/14/2015,"D&D Electrical Contractors, Inc.",1100 Technology Park Drive,,BILLERICA,MASSACHUSETTS,01821,42.53,-71.28,238210,1,0,0,1047121,An employee working from an 8-foot ladder received an electrical shock from an electrical pull box. He fell and broke his pelvis.,111,Fractures,342,Pelvis,4332,Other fall to lower level 6 to 10 feet,740,"Ladders, unspecified",4417,"Switchboards, switches, fuses",1
2015031230,969672,3/16/2015,Gil Haugan Construction,8000 East Highway 42,,SIOUX FALLS,SOUTH DAKOTA,57104,43.51,-96.65,236220,1,0,0,,An employee was injured by a gasoline-powered concrete saw with a diamond blade.  The employee was cutting a core floor when the saw kicked back and cut his thigh.,132,"Cuts, lacerations",511,Thigh(s),6252,Injured by slipping or swinging object held by injured worker,7224,"Saws-powered, except chainsaws",,,1
2015031262,971232,3/17/2015,Newton Construction Company,723 Donaldson Ave,,SAN ANTONIO,TEXAS,78201,29.46,-98.53,236220,1,0,0,,"An employee was stepping across a pile of dirt in the way of his work when he misstepped and fell, shattering his left ankle.",111,Fractures,52,Ankle(s),429,"Fall on same level, n.e.c. ",660,"Floors, walkways, ground surfaces, unspecified",,,1
2015031297,970420,3/18/2015,"Wire Out Communication, LLC",127 Ave W. Gulf Blvd.,,TREASURE ISLAND,FLORIDA,33706,27.74,-82.75,238210,1,0,0,,"An employee was descending a 28-foot ladder when a gust of wind knocked the ladder off of the cable. The ladder has a hook at the end, and the employee had the ladder hook on the cable. The hook knocked his ladder off of the cable strand. He broke his leg.",111,Fractures,510,"Leg(s), unspecified",4336,Other fall to lower level 26 to 30 feet,740,"Ladders, unspecified",9272,"High winds, gusts, turbulence",1
2015030423,970778,3/20/2015,Morton Buildings Inc.,32180 Rd 3 South,,GENOA,COLORADO,80818,39.39,-103.48,236220,1,0,0,1048684,"An employee fractured his right femur when a stack of steel roofing sheets slid off of the staging area and struck him on his right thigh. The stack of sheets was hit by a tractor with steel forks, which caused the stack to slide off and strike the employee.",111,Fractures,511,Thigh(s),6239,"Struck by falling object or equipment, n.e.c.",4137,Sheet metal,,,1
